iter	Passed	Remaining
0	1	1789
1	3	1669
2	4	1554
3	6	1531
4	7	1503
5	9	1495
6	10	1481
7	11	1465
8	13	1484
9	15	1485
10	16	1469
11	17	1468
12	19	1464
13	20	1461
14	22	1453
15	23	1447
16	24	1443
17	26	1440
18	27	1439
19	29	1436
20	30	1431
21	32	1427
22	33	1420
23	35	1425
24	36	1424
25	37	1417
26	39	1408
27	40	1414
28	42	1414
29	43	1415
30	45	1413
31	46	1414
32	48	1409
33	49	1415
34	51	1413
35	52	1414
36	54	1415
37	55	1411
38	57	1410
39	58	1411
40	60	1410
41	61	1405
42	63	1406
43	65	1414
44	66	1413
45	68	1417
46	69	1412
47	71	1411
48	72	1412
49	74	1408
50	75	1403
51	76	1398
52	78	1399
53	80	1402
54	81	1400
55	83	1400
56	85	1406
57	86	1404
58	87	1402
59	89	1399
60	90	1400
61	92	1398
62	93	1395
63	95	1391
64	96	1391
65	98	1388
66	99	1384
67	100	1381
68	102	1381
69	103	1380
70	105	1376
71	106	1372
72	107	1368
73	109	1367
74	110	1365
75	112	1361
76	113	1357
77	114	1355
78	116	1352
79	117	1350
80	118	1347
81	120	1345
82	120	1336
83	122	1333
84	123	1329
85	124	1327
86	126	1325
87	127	1325
88	129	1322
89	130	1319
90	131	1317
91	133	1315
92	134	1313
93	136	1311
94	137	1308
95	138	1305
96	139	1302
97	141	1301
98	148	1351
99	169	1522
100	170	1520
101	172	1517
102	173	1514
103	175	1510
104	176	1505
105	177	1500
106	179	1497
107	180	1494
108	182	1489
109	183	1485
110	184	1480
111	186	1476
112	187	1473
113	188	1468
114	190	1464
115	191	1461
116	193	1457
117	194	1454
118	195	1450
119	197	1445
120	198	1442
121	199	1437
122	201	1435
123	202	1430
124	203	1426
125	205	1422
126	206	1417
127	207	1414
128	209	1411
129	210	1408
130	211	1405
131	213	1401
132	214	1397
133	215	1393
134	217	1390
135	218	1388
136	219	1385
137	221	1381
138	222	1377
139	223	1375
140	225	1372
141	226	1366
142	227	1362
143	228	1360
144	230	1357
145	231	1354
146	232	1351
147	234	1347
148	235	1344
149	236	1342
150	238	1340
151	239	1337
152	241	1335
153	242	1333
154	244	1330
155	245	1327
156	246	1325
157	248	1323
158	249	1321
159	251	1318
160	252	1313
161	253	1310
162	254	1308
163	256	1306
164	257	1303
165	258	1300
166	260	1297
167	261	1296
168	263	1294
169	264	1292
170	265	1289
171	267	1287
172	268	1284
173	270	1282
174	271	1280
175	273	1279
176	274	1277
177	276	1274
178	277	1272
179	278	1269
180	280	1268
181	281	1265
182	283	1263
183	284	1260
184	285	1258
185	287	1256
186	288	1253
187	289	1250
188	290	1248
189	292	1246
190	293	1244
191	295	1242
192	296	1239
193	297	1237
194	299	1236
195	301	1234
196	302	1232
197	303	1229
198	305	1228
199	306	1225
200	307	1223
201	308	1220
202	310	1219
203	312	1217
204	313	1215
205	314	1212
206	316	1210
207	317	1209
208	319	1207
209	320	1204
210	321	1202
211	323	1200
212	324	1199
213	326	1197
214	327	1195
215	328	1193
216	330	1192
217	331	1190
218	333	1187
219	334	1185
220	335	1183
221	337	1182
222	338	1180
223	340	1178
224	341	1177
225	343	1176
226	344	1173
227	346	1172
228	347	1170
229	349	1168
230	350	1166
231	351	1164
232	353	1162
233	354	1161
234	356	1159
235	357	1157
236	358	1155
237	359	1152
238	361	1151
239	362	1149
240	364	1147
241	365	1145
242	366	1143
243	368	1142
244	369	1140
245	371	1137
246	372	1135
247	374	1134
248	391	1179
249	393	1179
250	394	1177
251	396	1175
252	397	1173
253	398	1170
254	400	1168
255	401	1166
256	402	1164
257	404	1162
258	405	1159
259	407	1158
260	408	1156
261	409	1153
262	411	1151
263	412	1149
264	413	1147
265	415	1145
266	416	1143
267	417	1141
268	419	1139
269	420	1137
270	422	1135
271	423	1133
272	425	1131
273	426	1129
274	427	1127
275	428	1125
276	430	1123
277	431	1121
278	432	1118
279	434	1116
280	435	1114
281	437	1112
282	438	1110
283	439	1108
284	440	1106
285	442	1103
286	443	1101
287	444	1099
288	446	1097
289	447	1095
290	448	1093
291	450	1091
292	451	1089
293	452	1087
294	454	1084
295	455	1083
296	456	1081
297	458	1079
298	459	1077
299	460	1075
300	462	1073
301	463	1071
302	465	1069
303	466	1067
304	467	1065
305	468	1063
306	470	1061
307	471	1059
308	472	1057
309	474	1055
310	475	1053
311	476	1051
312	477	1048
313	479	1046
314	480	1044
315	481	1042
316	483	1040
317	484	1038
318	485	1036
319	486	1034
320	488	1033
321	489	1031
322	491	1029
323	492	1027
324	493	1025
325	494	1023
326	496	1021
327	497	1019
328	498	1017
329	500	1015
330	501	1013
331	502	1011
332	504	1009
333	505	1007
334	506	1005
335	508	1004
336	509	1002
337	510	1000
338	512	998
339	513	996
340	514	994
341	515	992
342	517	990
343	518	989
344	520	987
345	521	985
346	522	983
347	523	981
348	525	979
349	526	977
350	527	976
351	529	974
352	530	973
353	532	971
354	533	969
355	534	967
356	535	965
357	537	963
358	538	961
359	540	960
360	541	958
361	542	956
362	544	954
363	545	952
364	546	950
365	547	949
366	549	947
367	550	945
368	552	943
369	553	942
370	554	940
371	556	938
372	557	937
373	558	935
374	559	933
375	561	931
376	562	929
377	563	927
378	565	926
379	566	924
380	567	922
381	569	920
382	570	919
383	571	917
384	573	915
385	574	914
386	575	912
387	577	910
388	578	908
389	579	906
390	581	905
391	582	903
392	583	901
393	585	900
394	586	898
395	587	896
396	588	894
397	590	892
398	591	891
399	593	889
400	594	888
401	595	886
402	597	884
403	598	882
404	599	881
405	601	879
406	602	878
407	604	876
408	618	894
409	620	893
410	621	891
411	623	889
412	624	887
413	626	886
414	627	884
415	628	882
416	630	881
417	631	879
418	632	877
419	634	875
420	635	874
421	636	872
422	638	870
423	639	868
424	640	866
425	641	865
426	643	863
427	644	861
428	645	859
429	647	858
430	648	856
431	650	854
432	651	852
433	652	850
434	653	849
435	654	847
436	656	845
437	657	843
438	658	841
439	660	840
440	661	838
441	662	836
442	663	834
443	665	833
444	666	831
445	667	829
446	669	827
447	670	826
448	671	824
449	673	822
450	674	821
451	675	819
452	677	817
453	678	816
454	679	814
455	681	812
456	682	811
457	684	809
458	685	807
459	686	806
460	688	804
461	689	802
462	690	801
463	692	799
464	693	797
465	694	796
466	696	794
467	697	792
468	698	791
469	699	789
470	701	787
471	702	786
472	703	784
473	705	782
474	706	780
475	707	779
476	709	777
477	710	775
478	711	774
479	713	772
480	714	770
481	715	769
482	717	767
483	718	765
484	719	764
485	721	762
486	722	760
487	723	759
488	724	757
489	726	755
490	727	754
491	729	752
492	730	751
493	732	749
494	733	748
495	734	746
496	736	745
497	737	743
498	738	741
499	740	740
500	741	738
501	742	736
502	744	735
503	745	733
504	746	732
505	748	730
506	749	729
507	751	727
508	752	726
509	754	724
510	755	722
511	756	721
512	758	719
513	759	718
514	760	716
515	762	715
516	764	713
517	765	712
518	767	711
519	768	709
520	770	708
521	771	706
522	773	705
523	774	703
524	776	702
525	777	700
526	779	699
527	780	698
528	782	696
529	784	695
530	785	693
531	786	692
532	788	690
533	789	689
534	791	687
535	792	686
536	794	684
537	795	683
538	797	681
539	798	680
540	799	678
541	801	677
542	802	675
543	804	674
544	806	672
545	807	671
546	809	670
547	811	668
548	812	667
549	814	666
550	815	664
551	817	663
552	818	661
553	820	660
554	821	658
555	823	657
556	824	655
557	826	654
558	827	652
559	828	651
560	830	649
561	831	648
562	833	646
563	834	645
564	835	643
565	837	642
566	839	640
567	840	639
568	841	637
569	852	643
570	865	650
571	868	649
572	870	648
573	872	647
574	874	646
575	876	644
576	877	643
577	879	641
578	880	640
579	882	639
580	884	637
581	885	636
582	887	634
583	888	632
584	890	631
585	891	629
586	892	628
587	894	626
588	896	625
589	897	623
590	898	621
591	899	620
592	901	618
593	903	617
594	904	615
595	906	614
596	908	613
597	910	611
598	911	610
599	912	608
600	914	606
601	915	605
602	917	603
603	918	602
604	920	600
605	921	599
606	923	597
607	924	596
608	926	594
609	927	593
610	928	591
611	930	589
612	931	588
613	933	586
614	934	585
615	935	583
616	937	581
617	938	580
618	940	578
619	941	576
620	942	575
621	943	573
622	945	571
623	946	570
624	948	568
625	949	567
626	950	565
627	952	563
628	953	562
629	954	560
630	956	559
631	957	557
632	958	555
633	960	554
634	961	552
635	962	551
636	964	549
637	965	547
638	966	546
639	967	544
640	969	542
641	970	541
642	971	539
643	973	537
644	974	536
645	975	534
646	977	533
647	979	531
648	980	530
649	982	528
650	983	527
651	985	525
652	986	524
653	987	522
654	989	521
655	990	519
656	992	517
657	993	516
658	994	514
659	995	513
660	997	511
661	999	510
662	1000	508
663	1002	507
664	1003	505
665	1005	504
666	1006	502
667	1007	500
668	1009	499
669	1010	497
670	1011	496
671	1013	494
672	1014	493
673	1016	491
674	1017	489
675	1018	488
676	1019	486
677	1021	485
678	1022	483
679	1023	481
680	1025	480
681	1026	478
682	1027	477
683	1029	475
684	1030	473
685	1031	472
686	1033	470
687	1034	469
688	1035	467
689	1037	465
690	1038	464
691	1039	462
692	1041	461
693	1042	459
694	1043	458
695	1045	456
696	1046	454
697	1047	453
698	1049	451
699	1050	450
700	1051	448
701	1053	447
702	1054	445
703	1055	443
704	1056	442
705	1058	440
706	1059	439
707	1060	437
708	1062	435
709	1063	434
710	1064	432
711	1065	431
712	1067	429
713	1068	427
714	1069	426
715	1070	424
716	1072	423
717	1085	426
718	1087	424
719	1088	423
720	1089	421
721	1091	420
722	1092	418
723	1093	416
724	1095	415
725	1096	413
726	1098	412
727	1099	410
728	1100	409
729	1102	407
730	1103	406
731	1104	404
732	1105	402
733	1106	401
734	1108	399
735	1109	398
736	1111	396
737	1112	395
738	1114	393
739	1115	391
740	1116	390
741	1118	388
742	1119	387
743	1121	385
744	1122	384
745	1123	382
746	1125	381
747	1126	379
748	1127	377
749	1129	376
750	1130	374
751	1131	373
752	1133	371
753	1134	370
754	1135	368
755	1137	367
756	1138	365
757	1139	363
758	1141	362
759	1142	360
760	1144	359
761	1145	357
762	1146	356
763	1147	354
764	1149	353
765	1150	351
766	1151	349
767	1153	348
768	1154	346
769	1155	345
770	1156	343
771	1158	342
772	1159	340
773	1160	338
774	1162	337
775	1163	335
776	1164	334
777	1166	332
778	1167	331
779	1168	329
780	1170	328
781	1171	326
782	1172	325
783	1174	323
784	1175	321
785	1176	320
786	1177	318
787	1179	317
788	1180	315
789	1181	314
790	1183	312
791	1184	311
792	1185	309
793	1186	307
794	1188	306
795	1189	304
796	1190	303
797	1191	301
798	1193	300
799	1194	298
800	1195	297
801	1196	295
802	1198	293
803	1199	292
804	1200	290
805	1201	289
806	1203	287
807	1204	286
808	1205	284
809	1207	283
810	1208	281
811	1209	280
812	1210	278
813	1212	276
814	1213	275
815	1214	273
816	1215	272
817	1217	270
818	1218	269
819	1219	267
820	1220	266
821	1222	264
822	1223	263
823	1224	261
824	1226	260
825	1227	258
826	1228	257
827	1229	255
828	1231	253
829	1232	252
830	1233	250
831	1235	249
832	1236	247
833	1237	246
834	1238	244
835	1240	243
836	1241	241
837	1242	240
838	1243	238
839	1245	237
840	1246	235
841	1247	234
842	1249	232
843	1250	231
844	1251	229
845	1253	228
846	1254	226
847	1255	225
848	1256	223
849	1258	222
850	1259	220
851	1260	219
852	1262	217
853	1263	215
854	1264	214
855	1265	212
856	1267	211
857	1268	209
858	1269	208
859	1271	206
860	1272	205
861	1273	203
862	1274	202
863	1276	200
864	1277	199
865	1278	197
866	1280	196
867	1281	194
868	1282	193
869	1283	191
870	1285	190
871	1286	188
872	1287	187
873	1289	185
874	1290	184
875	1291	182
876	1293	181
877	1294	179
878	1295	178
879	1297	176
880	1298	175
881	1299	173
882	1301	172
883	1302	170
884	1310	170
885	1314	169
886	1316	167
887	1317	166
888	1319	164
889	1320	163
890	1321	161
891	1323	160
892	1324	158
893	1326	157
894	1327	155
895	1329	154
896	1330	152
897	1331	151
898	1332	149
899	1334	148
900	1336	146
901	1337	145
902	1338	143
903	1339	142
904	1341	140
905	1342	139
906	1343	137
907	1345	136
908	1346	134
909	1347	133
910	1348	131
911	1350	130
912	1351	128
913	1352	127
914	1353	125
915	1355	124
916	1356	122
917	1358	121
918	1359	119
919	1360	118
920	1361	116
921	1363	115
922	1364	113
923	1365	112
924	1366	110
925	1368	109
926	1369	107
927	1370	106
928	1372	104
929	1373	103
930	1374	101
931	1376	100
932	1377	98
933	1378	97
934	1380	95
935	1381	94
936	1383	92
937	1384	91
938	1385	90
939	1387	88
940	1388	87
941	1389	85
942	1391	84
943	1392	82
944	1393	81
945	1394	79
946	1396	78
947	1397	76
948	1398	75
949	1400	73
950	1401	72
951	1402	70
952	1404	69
953	1405	67
954	1406	66
955	1408	64
956	1409	63
957	1410	61
958	1412	60
959	1413	58
960	1414	57
961	1416	55
962	1417	54
963	1418	52
964	1420	51
965	1421	50
966	1422	48
967	1423	47
968	1425	45
969	1426	44
970	1427	42
971	1429	41
972	1430	39
973	1431	38
974	1433	36
975	1434	35
976	1435	33
977	1437	32
978	1438	30
979	1439	29
980	1440	27
981	1442	26
982	1443	24
983	1445	23
984	1446	22
985	1447	20
986	1448	19
987	1450	17
988	1451	16
989	1452	14
990	1454	13
991	1455	11
992	1456	10
993	1458	8
994	1459	7
995	1460	5
996	1462	4
997	1463	2
998	1464	1
999	1466	0
